experiment_id,timestamp_x,run_time,config_id,experiment_tags,simulation_type,num_of_agents,num_iterations,mio,num_of_repetitions,switch_agent_rate,switch_agent_sigma,radical_exposure_eta,truncate_at,epsilon,mark_stubborn_at,display_name,status,timestamp_y,audit_every_x_iterations
7b7c9657-e6e1-4b09-9de0-5319a3786974,1671197740,65,04a65d52-0ed0-4c19-99a1-b4999d59da2c,[],REPULSIVE,100,10000,0.2,40,NULL,NULL,0.01,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671197690562,250.0
bea32570-336a-42fa-9a70-1969c0709269,1671197745,62,b026ab6d-6a12-4ab7-ad59-bec461c6e0eb,[],REPULSIVE,100,10000,0.2,40,NULL,NULL,0.1,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671197690562,250.0
3cc56014-9f21-417c-a250-d43e6753c49d,1671197743,63,5e86dc2a-b151-4f2d-b110-36be59e838d6,[],REPULSIVE,100,10000,0.2,40,NULL,NULL,0.05,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671197690562,250.0
ebae9e4f-460e-4099-b4ce-5bbb5e0033eb,1671197752,55,26fd5582-35b3-4d55-af5b-5070887557b1,[],REPULSIVE,100,10000,0.2,40,NULL,NULL,0.6,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671197690562,250.0
449edbea-4708-4c8a-bfe6-631d9a7b514a,1671197748,59,99809f05-0105-4da7-aa3c-0b52115ca569,[],REPULSIVE,100,10000,0.2,40,NULL,NULL,0.2,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671197690562,250.0
ecd82914-1f8c-4fc8-a01c-9f44f4ddd0b6,1671197751,57,eeba8c6c-6a47-476e-a2ab-2a6b3bb36579,[],REPULSIVE,100,10000,0.2,40,NULL,NULL,0.4,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671197690562,250.0
086eac2e-5f37-418e-9c5f-0a9d4ac47a29,1671198937,49,421e772c-7a16-4c80-990a-55c4556a1f0d,[],REPULSIVE,100,10000,0.2,40,NULL,NULL,1.6,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
20374707-0bef-46c8-9baa-93ae28d4fdb6,1671198937,50,13bb38dd-c07a-492e-8dbd-c1b685337341,[],SIMILARITY,100,10000,0.2,40,NULL,NULL,2.4,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
661c4c21-1aa6-483e-a74d-876e81e324dd,1671198937,51,ab0f15be-951d-4940-beab-87dac42b4ef7,[],SIMILARITY,100,10000,0.2,40,NULL,NULL,2.2,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
76e991c5-e8fa-4087-92fa-dfa01c792074,1671198937,51,ab75e345-aeba-45b7-a45a-b3e23ebc3003,[],REPULSIVE,100,10000,0.2,40,NULL,NULL,1.4,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
a17432f3-900a-4072-bfe2-f8c6362d47e7,1671198937,51,a45df060-74e6-4af5-b894-2845106aca7d,[],SIMILARITY,100,10000,0.2,40,NULL,NULL,2.0,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
bb8736e6-f404-4d7d-873d-36d1e32995a3,1671198937,52,20741bc4-a76c-4b6c-8d63-5d452c33e0df,[],SIMILARITY,100,10000,0.2,40,NULL,NULL,1.8,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
770188a0-629f-42ca-a2c7-6404c5cbe74d,1671198937,53,2587df5f-9ff2-47af-abe3-86faed445b8b,[],SIMILARITY,100,10000,0.2,40,NULL,NULL,1.6,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
b9493036-0685-451d-b52b-90c69557ca53,1671198937,53,0cf20414-3da7-4096-bdd5-7ff481033d5a,[],SIMILARITY,100,10000,0.2,40,NULL,NULL,1.2,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
951bb161-a0fe-452a-aa63-335c303ae48d,1671198937,53,d7672775-3124-40e8-8aaa-cc2515d5f6da,[],REPULSIVE,100,10000,0.2,40,NULL,NULL,1.2,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
e7e83a15-2d3f-4064-8469-21fba16bbb1c,1671198937,53,5ab402de-91f3-486e-8f45-1089912cc566,[],SIMILARITY,100,10000,0.2,40,NULL,NULL,1.4,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
8a1bfa3e-cbab-4e5c-a6c9-94d2deb43ab2,1671198937,54,10e8ec3b-3401-44f0-98e3-16db706a80b5,[],SIMILARITY,100,10000,0.2,40,NULL,NULL,0.8,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
8793db08-5043-49ce-ab88-37b03859de2c,1671198937,55,4f8e6f9e-97ae-4f88-b50f-8419b8cee0cf,[],REPULSIVE,100,10000,0.2,40,NULL,NULL,0.8,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
0b20c040-3ae5-480f-b3b7-e4e11c5d5d85,1671198990,19,733b28fb-6926-4fa1-a1ba-53d055fad6aa,[],REPULSIVE,100,10000,0.2,40,NULL,NULL,2.4,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
0c9e0039-f4c4-49e5-9e2a-41c05ac66c6f,1671198990,20,83745520-a857-47dd-8ea0-f129ddbe8674,[],REPULSIVE,100,10000,0.2,40,NULL,NULL,2.2,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
36b961f7-6f8f-43fe-b1ae-d465777020fe,1671198989,22,30d4d394-4721-4fd1-9374-f2e06f7989ee,[],REPULSIVE,100,10000,0.2,40,NULL,NULL,2.0,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
3e7ccc77-5eee-4b66-9499-10ca6ec33d06,1671198988,23,b1c0a52d-fff2-46ff-88db-9fd42061e4a5,[],REPULSIVE,100,10000,0.2,40,NULL,NULL,1.8,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
